timing_now,model_type,epoch,learning_rate,hidden_size,batch_size,pooling_style,dropout,time_spent,accuracy
2025-07-15 03:04:02,gated_cnn,15,0.0001,64,64,max,0.3,56.0310,0.8644703919933278
2025-07-15 03:04:58,gated_cnn,15,0.0001,64,64,max,0.5,55.9334,0.8465387823185988
2025-07-15 03:05:44,gated_cnn,15,0.0001,64,128,avg,0.3,45.8251,0.8340283569641368
2025-07-15 03:06:30,gated_cnn,15,0.0001,64,128,avg,0.5,45.5771,0.8377814845704754
2025-07-15 03:07:16,gated_cnn,15,0.0001,64,128,max,0.3,46.2905,0.8544620517097581
2025-07-15 03:08:02,gated_cnn,15,0.0001,64,128,max,0.5,45.7979,0.8452877397831526
2025-07-15 03:11:26,stack_gated_cnn,15,0.001,128,64,avg,0.3,204.4952,0.8682235195996664
2025-07-15 03:14:53,stack_gated_cnn,15,0.001,128,64,avg,0.5,207.0323,0.8861551292743953
2025-07-15 03:18:20,stack_gated_cnn,15,0.001,128,64,max,0.3,206.9074,0.878231859883236
2025-07-15 03:21:48,stack_gated_cnn,15,0.001,128,64,max,0.5,207.4577,0.8886572143452878
2025-07-15 03:24:56,stack_gated_cnn,15,0.001,128,128,avg,0.3,188.3124,0.8502919099249374
2025-07-15 03:28:05,stack_gated_cnn,15,0.001,128,128,avg,0.5,189.1103,0.8899082568807339
2025-07-15 03:31:15,stack_gated_cnn,15,0.001,128,128,max,0.3,189.5081,0.890742285237698
2025-07-15 03:34:25,stack_gated_cnn,15,0.001,128,128,max,0.5,189.9602,0.8894912427022519
2025-07-15 03:36:16,stack_gated_cnn,15,0.001,64,64,avg,0.3,111.4981,0.8882402001668057
2025-07-15 03:38:07,stack_gated_cnn,15,0.001,64,64,avg,0.5,111.3076,0.8773978315262719
2025-07-15 03:39:59,stack_gated_cnn,15,0.001,64,64,max,0.3,111.2528,0.8798999165971643
2025-07-15 03:41:49,stack_gated_cnn,15,0.001,64,64,max,0.5,110.5972,0.8815679733110926
2025-07-15 03:43:21,stack_gated_cnn,15,0.001,64,128,avg,0.3,91.3912,0.8761467889908257
2025-07-15 03:44:53,stack_gated_cnn,15,0.001,64,128,avg,0.5,91.8995,0.8874061718098415
2025-07-15 03:46:24,stack_gated_cnn,15,0.001,64,128,max,0.3,91.7418,0.8849040867389492
2025-07-15 03:47:55,stack_gated_cnn,15,0.001,64,128,max,0.5,90.7224,0.8853211009174312
2025-07-15 03:51:23,stack_gated_cnn,15,0.0001,128,64,avg,0.3,207.8024,0.8861551292743953
2025-07-15 03:54:52,stack_gated_cnn,15,0.0001,128,64,avg,0.5,208.8101,0.8686405337781484
2025-07-15 03:58:19,stack_gated_cnn,15,0.0001,128,64,max,0.3,207.7927,0.8803169307756463
2025-07-15 04:01:48,stack_gated_cnn,15,0.0001,128,64,max,0.5,208.2302,0.8486238532110092
2025-07-15 04:04:57,stack_gated_cnn,15,0.0001,128,128,avg,0.3,189.1142,0.8773978315262719
2025-07-15 04:08:05,stack_gated_cnn,15,0.0001,128,128,avg,0.5,188.2749,0.8636363636363636
2025-07-15 04:11:15,stack_gated_cnn,15,0.0001,128,128,max,0.3,189.9167,0.8715596330275229
2025-07-15 04:14:25,stack_gated_cnn,15,0.0001,128,128,max,0.5,190.2116,0.8498748957464554
2025-07-15 04:16:18,stack_gated_cnn,15,0.0001,64,64,avg,0.3,112.7351,0.8686405337781484
2025-07-15 04:18:08,stack_gated_cnn,15,0.0001,64,64,avg,0.5,110.2214,0.8544620517097581
2025-07-15 04:19:59,stack_gated_cnn,15,0.0001,64,64,max,0.3,110.9257,0.871976647206005
2025-07-15 04:21:50,stack_gated_cnn,15,0.0001,64,64,max,0.5,110.4087,0.8527939949958299
2025-07-15 04:23:21,stack_gated_cnn,15,0.0001,64,128,avg,0.3,91.3156,0.8532110091743119
2025-07-15 04:24:52,stack_gated_cnn,15,0.0001,64,128,avg,0.5,91.2810,0.841534612176814
2025-07-15 04:26:24,stack_gated_cnn,15,0.0001,64,128,max,0.3,91.8335,0.8448707256046706
2025-07-15 04:27:56,stack_gated_cnn,15,0.0001,64,128,max,0.5,91.4543,0.8423686405337781
2025-07-15 04:29:58,rcnn,15,0.001,128,64,avg,0.3,122.2101,0.8857381150959133
2025-07-15 04:32:01,rcnn,15,0.001,128,64,avg,0.5,122.8755,0.8828190158465388
2025-07-15 04:34:04,rcnn,15,0.001,128,64,max,0.3,123.5287,0.8832360300250208
2025-07-15 04:36:07,rcnn,15,0.001,128,64,max,0.5,122.9882,0.8832360300250208
2025-07-15 04:38:00,rcnn,15,0.001,128,128,avg,0.3,113.0627,0.8815679733110926
2025-07-15 04:39:53,rcnn,15,0.001,128,128,avg,0.5,113.1172,0.8878231859883235
2025-07-15 04:41:46,rcnn,15,0.001,128,128,max,0.3,112.5990,0.8940783986655546
2025-07-15 04:43:39,rcnn,15,0.001,128,128,max,0.5,113.1538,0.8857381150959133
2025-07-15 04:44:46,rcnn,15,0.001,64,64,avg,0.3,66.4415,0.8878231859883235
2025-07-15 04:45:52,rcnn,15,0.001,64,64,avg,0.5,66.1995,0.8836530442035029
2025-07-15 04:46:57,rcnn,15,0.001,64,64,max,0.3,65.5644,0.8853211009174312
2025-07-15 04:48:03,rcnn,15,0.001,64,64,max,0.5,66.0067,0.8890742285237698
2025-07-15 04:48:58,rcnn,15,0.001,64,128,avg,0.3,54.8532,0.8819849874895747
2025-07-15 04:49:54,rcnn,15,0.001,64,128,avg,0.5,55.2953,0.8811509591326105
2025-07-15 04:50:49,rcnn,15,0.001,64,128,max,0.3,55.5150,0.8869891576313594
2025-07-15 04:51:44,rcnn,15,0.001,64,128,max,0.5,55.2116,0.8769808173477899
2025-07-15 04:53:47,rcnn,15,0.0001,128,64,avg,0.3,122.3179,0.8636363636363636
2025-07-15 04:55:49,rcnn,15,0.0001,128,64,avg,0.5,122.6075,0.8544620517097581
2025-07-15 04:57:53,rcnn,15,0.0001,128,64,max,0.3,123.2583,0.877814845704754
2025-07-15 04:59:55,rcnn,15,0.0001,128,64,max,0.5,122.4516,0.8665554628857381
2025-07-15 05:01:48,rcnn,15,0.0001,128,128,avg,0.3,112.7002,0.8619683069224353
2025-07-15 05:03:40,rcnn,15,0.0001,128,128,avg,0.5,112.6587,0.8473728106755629
2025-07-15 05:05:34,rcnn,15,0.0001,128,128,max,0.3,113.4262,0.8657214345287739
2025-07-15 05:07:27,rcnn,15,0.0001,128,128,max,0.5,112.6741,0.859466221851543
2025-07-15 05:08:32,rcnn,15,0.0001,64,64,avg,0.3,65.4640,0.8473728106755629
2025-07-15 05:09:38,rcnn,15,0.0001,64,64,avg,0.5,65.5711,0.8390325271059216
2025-07-15 05:10:43,rcnn,15,0.0001,64,64,max,0.3,65.4312,0.8603002502085071
2025-07-15 05:11:48,rcnn,15,0.0001,64,64,max,0.5,65.3679,0.8527939949958299
2025-07-15 05:12:43,rcnn,15,0.0001,64,128,avg,0.3,54.7264,0.8286071726438698
2025-07-15 05:13:38,rcnn,15,0.0001,64,128,avg,0.5,55.0931,0.8315262718932444
2025-07-15 05:14:34,rcnn,15,0.0001,64,128,max,0.3,55.6455,0.8544620517097581
2025-07-15 05:15:29,rcnn,15,0.0001,64,128,max,0.5,55.0416,0.8381984987489575
